日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2020/06/01,13078634,563016744,42.95,43.15,42.75,43.1,0.55,6028
2020/06/02,12568609,543078464,43.15,43.3,43.05,43.3,0.2,6184
2020/06/03,18791075,820378010,43.5,43.9,43.4,43.65,0.35,8453
2020/06/04,13868624,603196516,44.0,44.0,43.3,43.4,-0.25,6031
2020/06/05,8873983,386149271,43.5,43.65,43.35,43.65,0.25,4817
2020/06/08,15341602,670784440,43.75,43.95,43.5,43.95,0.3,5785
2020/06/09,14104400,617295643,43.65,43.9,43.6,43.9,-0.05,6513
2020/06/10,22750386,999014263,43.75,44.15,43.5,44.0,0.1,9742
2020/06/11,16466320,719101496,43.9,44.05,43.3,43.3,-0.7,9121
2020/06/12,21783848,933217214,42.5,43.0,42.45,42.9,-0.4,8779
2020/06/15,17874614,762470767,42.75,42.95,42.5,42.5,-0.4,8950
2020/06/16,11897301,510156938,42.75,43.15,42.7,42.85,0.35,8204
2020/06/17,14696654,626818544,42.8,42.85,42.55,42.85,0.0,8539
2020/06/18,10558799,450935298,42.85,42.9,42.6,42.7,-0.15,6118
2020/06/19,25125556,1073041829,42.8,43.2,42.55,42.55,-0.15,9486
2020/06/22,12590838,538775823,42.85,43.1,42.65,42.9,0.35,6717
2020/06/23,14116429,604267273,43.0,43.0,42.7,42.7,-0.2,7036
2020/06/24,14382227,615991311,42.9,43.0,42.7,42.85,0.15,8189
2020/06/29,13244414,565549779,42.6,42.85,42.6,42.65,-0.2,5813
2020/06/30,12448715,532833070,42.9,42.9,42.75,42.75,0.1,4973
